filename,class,color_hue_mean,color_hue_std,color_saturation_mean,color_saturation_std,color_value_mean,color_value_std,texture_contrast,texture_dissimilarity,texture_homogeneity,texture_energy,texture_correlation,texture_asm
glass100.png,glass,24.30517069,33.60463494,36.62550354,70.03969296,56.85317993,80.93083924,637.4808206,8.758197732,0.636854033,0.571398026,0.945707612,0.326495704
glass100_rot180.png,glass,24.30517069,33.60463494,36.62550354,70.03969296,56.85317993,80.93083924,637.4808206,8.758197732,0.636854033,0.571398026,0.945707612,0.326495704
glass100_rot270.png,glass,24.30517069,33.60463494,36.62550354,70.03969296,56.85317993,80.93083924,776.6777704,11.59400767,0.613206072,0.563406316,0.933972002,0.317426677
glass100_rot90.png,glass,24.30517069,33.60463494,36.62550354,70.03969296,56.85317993,80.93083924,776.6777704,11.59400767,0.613206072,0.563406316,0.933972002,0.317426677
glass104.png,glass,5.099706014,9.167614086,13.16485087,25.71807838,30.38740031,58.40651427,154.6582635,3.847910503,0.775485466,0.732370854,0.974239158,0.536367068
glass104_rot180.png,glass,5.099706014,9.167614086,13.16485087,25.71807838,30.38740031,58.40651427,154.6582635,3.847910503,0.775485466,0.732370854,0.974239158,0.536367068
glass104_rot270.png,glass,5.099706014,9.167614086,13.16485087,25.71807838,30.38740031,58.40651427,468.3269706,6.918350099,0.746042824,0.721211466,0.922891846,0.520145978
glass104_rot90.png,glass,5.099706014,9.167614086,13.16485087,25.71807838,30.38740031,58.40651427,468.3269706,6.918350099,0.746042824,0.721211466,0.922891846,0.520145978
glass107.png,glass,21.48838806,45.53280237,23.89909871,46.18341948,45.85233561,69.44208018,829.5352359,10.93550707,0.617111851,0.552823074,0.910597284,0.305613352
glass107_rot180.png,glass,21.48838806,45.53280237,23.89909871,46.18341948,45.85233561,69.44208018,829.5352359,10.93550707,0.617111851,0.552823074,0.910597284,0.305613352
glass107_rot270.png,glass,21.48838806,45.53280237,23.89909871,46.18341948,45.85233561,69.44208018,273.2233313,4.973722996,0.689242325,0.563494605,0.970645266,0.31752617
glass107_rot90.png,glass,21.48838806,45.53280237,23.89909871,46.18341948,45.85233561,69.44208018,273.2233313,4.973722996,0.689242325,0.563494605,0.970645266,0.31752617
glass11.png,glass,6.326553345,14.35768164,17.13517253,42.98911873,18.35435994,47.40755098,262.842394,4.045806624,0.83070367,0.80825718,0.93402264,0.653279669
glass113.png,glass,2.877782186,8.791309964,23.41891479,58.28175422,7.180908203,20.04573494,53.82193047,1.274716469,0.882663112,0.827519172,0.899242278,0.68478798
glass113_rot180.png,glass,2.877782186,8.791309964,23.41891479,58.28175422,7.180908203,20.04573494,53.82193047,1.274716469,0.882663112,0.827519172,0.899242278,0.68478798
glass113_rot270.png,glass,2.877782186,8.791309964,23.41891479,58.28175422,7.180908203,20.04573494,170.257493,3.157373433,0.845752061,0.820143403,0.682190343,0.672635201
glass113_rot90.png,glass,2.877782186,8.791309964,23.41891479,58.28175422,7.180908203,20.04573494,170.257493,3.157373433,0.845752061,0.820143403,0.682190343,0.672635201
glass116.png,glass,8.626164754,8.968041789,37.00909932,38.77372758,69.67107646,74.09584114,240.9276329,6.225679035,0.568386478,0.491808761,0.973018127,0.241875857
glass116_rot180.png,glass,8.626164754,8.968041789,37.00909932,38.77372758,69.67107646,74.09584114,240.9276329,6.225679035,0.568386478,0.491808761,0.973018127,0.241875857
