filename,class,color_hue_mean,color_hue_std,color_saturation_mean,color_saturation_std,color_value_mean,color_value_std,texture_contrast,texture_dissimilarity,texture_homogeneity,texture_energy,texture_correlation,texture_asm
glass100.png,glass,0.229119433,0.35490973,0.259370123,0.589894243,0.397305526,0.779350359,0.222525399,0.26904165,0.56766754,0.552967977,0.909638097,0.34051125
glass100_rot180.png,glass,0.229119433,0.35490973,0.259370123,0.589894243,0.397305526,0.779350359,0.222525399,0.26904165,0.56766754,0.552967977,0.909638097,0.34051125
glass100_rot270.png,glass,0.229119433,0.35490973,0.259370123,0.589894243,0.397305526,0.779350359,0.271786877,0.358734315,0.537810989,0.544090627,0.885039825,0.330893358
glass100_rot90.png,glass,0.229119433,0.35490973,0.259370123,0.589894243,0.397305526,0.779350359,0.271786877,0.358734315,0.537810989,0.544090627,0.885039825,0.330893358
glass104.png,glass,0.044371758,0.049558471,0.089886203,0.197235127,0.20634993,0.533425227,0.051655614,0.113736197,0.742695586,0.731779801,0.969441272,0.563084197
glass104_rot180.png,glass,0.044371758,0.049558471,0.089886203,0.197235127,0.20634993,0.533425227,0.051655614,0.113736197,0.742695586,0.731779801,0.969441272,0.563084197
glass104_rot270.png,glass,0.044371758,0.049558471,0.089886203,0.197235127,0.20634993,0.533425227,0.162662243,0.210849867,0.705523005,0.719383731,0.861815409,0.545881394
glass104_rot90.png,glass,0.044371758,0.049558471,0.089886203,0.197235127,0.20634993,0.533425227,0.162662243,0.210849867,0.705523005,0.719383731,0.861815409,0.545881394
glass107.png,glass,0.202023289,0.503957397,0.167432315,0.378544017,0.317932358,0.653913766,0.290493012,0.337906871,0.542742201,0.53233455,0.836045552,0.318365082
glass107_rot180.png,glass,0.202023289,0.503957397,0.167432315,0.378544017,0.317932358,0.653913766,0.290493012,0.337906871,0.542742201,0.53233455,0.836045552,0.318365082
glass107_rot270.png,glass,0.202023289,0.503957397,0.167432315,0.378544017,0.317932358,0.653913766,0.093615517,0.149344057,0.633809974,0.5441887,0.961908341,0.330998873
glass107_rot90.png,glass,0.202023289,0.503957397,0.167432315,0.378544017,0.317932358,0.653913766,0.093615517,0.149344057,0.633809974,0.5441887,0.961908341,0.330998873
glass11.png,glass,0.056173461,0.114410634,0.118568511,0.350244703,0.119529272,0.413336323,0.089941727,0.119995372,0.812410903,0.816075844,0.885145964,0.687072442
glass113.png,glass,0.02299788,0.044856387,0.163963381,0.485726968,0.038910708,0.114594486,0.015969869,0.032349702,0.878011896,0.837472448,0.81224504,0.720487661
glass113_rot180.png,glass,0.02299788,0.044856387,0.163963381,0.485726968,0.038910708,0.114594486,0.015969869,0.032349702,0.878011896,0.837472448,0.81224504,0.720487661
glass113_rot270.png,glass,0.02299788,0.044856387,0.163963381,0.485726968,0.038910708,0.114594486,0.057176145,0.091895484,0.831410133,0.829279297,0.357296165,0.707599386
glass113_rot90.png,glass,0.02299788,0.044856387,0.163963381,0.485726968,0.038910708,0.114594486,0.057176145,0.091895484,0.831410133,0.829279297,0.357296165,0.707599386
glass116.png,glass,0.078294658,0.047064728,0.262141287,0.312899227,0.48978907,0.704724469,0.082186144,0.188941659,0.481224357,0.464558636,0.966881946,0.250770143
glass116_rot180.png,glass,0.078294658,0.047064728,0.262141287,0.312899227,0.48978907,0.704724469,0.082186144,0.188941659,0.481224357,0.464558636,0.966881946,0.250770143
glass116_rot270.png,glass,0.078294658,0.047064728,0.262141287,0.312899227,0.48978907,0.704724469,0.239647884,0.349054449,0.435468046,0.452480433,0.862421199,0.239553148
glass116_rot90.png,glass,0.078294658,0.047064728,0.262141287,0.312899227,0.48978907,0.704724469,0.239647884,0.349054449,0.435468046,0.452480433,0.862421199,0.239553148
glass118.png,glass,0.063182961,0.071473178,0.315300509,0.625957698,0.115476269,0.273084335,0.092596391,0.139796543,0.721691172,0.655049291,0.717727566,0.46084318
glass118_rot180.png,glass,0.063182961,0.071473178,0.315300509,0.625957698,0.115476269,0.273084335,0.092596391,0.139796543,0.721691172,0.655049291,0.717727566,0.46084318
glass118_rot270.png,glass,0.063182961,0.071473178,0.315300509,0.625957698,0.115476269,0.273084335,0.118066568,0.179260723,0.662939137,0.642881926,0.637737478,0.445560194
glass118_rot90.png,glass,0.063182961,0.071473178,0.315300509,0.625957698,0.115476269,0.273084335,0.118066568,0.179260723,0.662939137,0.642881926,0.637737478,0.445560194
glass11_rot180.png,glass,0.056173461,0.114410634,0.118568511,0.350244703,0.119529272,0.413336323,0.089941727,0.119995372,0.812410903,0.816075844,0.885145964,0.687072442
glass11_rot270.png,glass,0.056173461,0.114410634,0.118568511,0.350244703,0.119529272,0.413336323,0.207392169,0.204004786,0.796468334,0.810128412,0.711411605,0.677924071
glass11_rot90.png,glass,0.056173461,0.114410634,0.118568511,0.350244703,0.119529272,0.413336323,0.207392169,0.204004786,0.796468334,0.810128412,0.711411605,0.677924071
glass133.png,glass,0.130254532,0.496512403,0.161067287,0.439197056,0.123497244,0.378565665,0.076835985,0.129670385,0.760174753,0.754515219,0.760090112,0.595322044
glass133_rot180.png,glass,0.130254532,0.496512403,0.161067287,0.439197056,0.123497244,0.378565665,0.076835985,0.129670385,0.760174753,0.754515219,0.760090112,0.595322044
glass133_rot270.png,glass,0.130254532,0.496512403,0.161067287,0.439197056,0.123497244,0.378565665,0.053395932,0.104589102,0.771031716,0.75853348,0.837397737,0.601112162
glass133_rot90.png,glass,0.130254532,0.496512403,0.161067287,0.439197056,0.123497244,0.378565665,0.053395932,0.104589102,0.771031716,0.75853348,0.837397737,0.601112162
glass135.png,glass,0.08282505,0.30978207,0.097786104,0.271705888,0.195349563,0.531806479,0.138760449,0.182226465,0.746668011,0.74375575,0.884809982,0.57995483
glass135_rot180.png,glass,0.08282505,0.30978207,0.097786104,0.271705888,0.195349563,0.531806479,0.138760449,0.182226465,0.746668011,0.74375575,0.884809982,0.57995483
glass135_rot270.png,glass,0.08282505,0.30978207,0.097786104,0.271705888,0.195349563,0.531806479,0.137048563,0.179945948,0.730147821,0.740215775,0.88682716,0.574942368
glass135_rot90.png,glass,0.08282505,0.30978207,0.097786104,0.271705888,0.195349563,0.531806479,0.137048563,0.179945948,0.730147821,0.740215775,0.88682716,0.574942368
glass141.png,glass,0.299332296,0.46510378,0.05380724,0.090095513,0.351243155,0.643739177,0.17242027,0.278888056,0.509704322,0.502933956,0.908427648,0.288073287
glass141_rot180.png,glass,0.299332296,0.46510378,0.05380724,0.090095513,0.351243155,0.643739177,0.17242027,0.278888056,0.509704322,0.502933956,0.908427648,0.288073287
glass141_rot270.png,glass,0.299332296,0.46510378,0.05380724,0.090095513,0.351243155,0.643739177,0.13037638,0.191242874,0.545623479,0.498221164,0.937179084,0.283355815
glass141_rot90.png,glass,0.299332296,0.46510378,0.05380724,0.090095513,0.351243155,0.643739177,0.13037638,0.191242874,0.545623479,0.498221164,0.937179084,0.283355815
